wav_filename,wav_filesize,transcript
/data/DeepSpeech/data_am/am/d1073_T988.wav,120678,aber mir häi nie nie irgendwie
/data/DeepSpeech/data_am/am/d1224_T572.wav,147884,zimmli schtaargg gsi mi frau isch no tütschi gsii
/data/DeepSpeech/data_am/am/d1121_TLI_1088.wav,52140,jaa das isch ez offebaar wie
/data/DeepSpeech/data_am/am/d1203_T622.wav,144684,morge unausgeruut hei mer denn müesse wider go häufe pure
/data/DeepSpeech/data_am/am/d1300_T2184.wav,93698,äm volk sägä das dörsch sägä oder nöd
/data/DeepSpeech/data_am/am/d1007_T1101.wav,252632,ìch bi doo e jungi fròü gsii und und di sorg isch nur gsii jeeches jez is militäär und was wie mach ich das
/data/DeepSpeech/data_am/am/d1248_T507.wav,72152,däre hät däre hät
/data/DeepSpeech/data_am/am/d1228_T1710.wav,113110,wenn au uf villicht uf äbe uf uniwärsitätsschtufe
/data/DeepSpeech/data_am/am/d1044_T729.wav,156418,joo das waiss i aber si si ned
/data/DeepSpeech/data_am/am/d1225_TLI_643.wav,38638,völig unvertrout gsi isch
